window_size=4, lr=0.0005, hidden_size=256, dropout=0.3, MSE=1.4863
window_size=4, lr=0.0005, hidden_size=256, dropout=0.4, MSE=1.7747
window_size=4, lr=0.0005, hidden_size=128, dropout=0.2, MSE=2.0480
window_size=4, lr=0.0005, hidden_size=256, dropout=0.2, MSE=2.0747
window_size=4, lr=0.0005, hidden_size=128, dropout=0.3, MSE=2.3623
window_size=4, lr=0.0005, hidden_size=128, dropout=0.4, MSE=2.3669
window_size=4, lr=0.001, hidden_size=256, dropout=0.2, MSE=2.5062
window_size=4, lr=0.0001, hidden_size=256, dropout=0.2, MSE=2.5259
window_size=4, lr=0.0001, hidden_size=256, dropout=0.3, MSE=2.6207
window_size=8, lr=0.0005, hidden_size=256, dropout=0.3, MSE=2.7956
window_size=8, lr=0.0005, hidden_size=256, dropout=0.2, MSE=2.9198
window_size=4, lr=0.0001, hidden_size=256, dropout=0.4, MSE=3.0412
window_size=4, lr=0.001, hidden_size=256, dropout=0.3, MSE=3.0728
window_size=16, lr=0.0005, hidden_size=256, dropout=0.4, MSE=3.2712
window_size=8, lr=0.001, hidden_size=128, dropout=0.2, MSE=3.3569
window_size=8, lr=0.001, hidden_size=128, dropout=0.3, MSE=3.4132
window_size=4, lr=0.001, hidden_size=128, dropout=0.4, MSE=3.5095
window_size=4, lr=0.001, hidden_size=128, dropout=0.2, MSE=3.6524
window_size=4, lr=0.0005, hidden_size=64, dropout=0.3, MSE=3.9450
window_size=8, lr=0.0001, hidden_size=256, dropout=0.2, MSE=3.9718
window_size=16, lr=0.001, hidden_size=256, dropout=0.4, MSE=3.9832
window_size=4, lr=0.001, hidden_size=256, dropout=0.4, MSE=4.0683
window_size=4, lr=0.0005, hidden_size=64, dropout=0.2, MSE=4.0937
window_size=8, lr=0.0005, hidden_size=128, dropout=0.3, MSE=4.1168
window_size=4, lr=0.001, hidden_size=128, dropout=0.3, MSE=4.1207
window_size=16, lr=0.0001, hidden_size=256, dropout=0.4, MSE=4.1846
window_size=4, lr=0.001, hidden_size=64, dropout=0.2, MSE=4.1909
window_size=8, lr=0.0001, hidden_size=256, dropout=0.4, MSE=4.2162
window_size=8, lr=0.0005, hidden_size=256, dropout=0.4, MSE=4.3458
window_size=8, lr=0.0005, hidden_size=128, dropout=0.4, MSE=4.4262
window_size=8, lr=0.0001, hidden_size=256, dropout=0.3, MSE=4.4632
window_size=16, lr=0.0001, hidden_size=256, dropout=0.3, MSE=4.5615
window_size=16, lr=0.0005, hidden_size=128, dropout=0.3, MSE=4.6405
window_size=4, lr=0.0005, hidden_size=64, dropout=0.4, MSE=4.7109
window_size=16, lr=0.0001, hidden_size=256, dropout=0.2, MSE=4.8560
window_size=4, lr=0.001, hidden_size=64, dropout=0.3, MSE=4.8848
window_size=8, lr=0.001, hidden_size=64, dropout=0.3, MSE=5.1952
window_size=8, lr=0.0005, hidden_size=128, dropout=0.2, MSE=5.2487
window_size=4, lr=0.001, hidden_size=64, dropout=0.4, MSE=5.2932
window_size=8, lr=0.0005, hidden_size=64, dropout=0.2, MSE=5.6191
window_size=16, lr=0.0005, hidden_size=256, dropout=0.2, MSE=5.8001
window_size=8, lr=0.001, hidden_size=128, dropout=0.4, MSE=5.8609
window_size=16, lr=0.0005, hidden_size=256, dropout=0.3, MSE=5.9699
window_size=8, lr=0.001, hidden_size=256, dropout=0.4, MSE=6.0575
window_size=16, lr=0.001, hidden_size=256, dropout=0.3, MSE=6.1077
window_size=16, lr=0.0005, hidden_size=128, dropout=0.4, MSE=6.1294
window_size=8, lr=0.001, hidden_size=64, dropout=0.4, MSE=6.3732
window_size=8, lr=0.0005, hidden_size=64, dropout=0.3, MSE=6.3875
window_size=16, lr=0.0005, hidden_size=128, dropout=0.2, MSE=6.5489
window_size=8, lr=0.0001, hidden_size=128, dropout=0.2, MSE=6.8477
window_size=8, lr=0.0001, hidden_size=128, dropout=0.3, MSE=6.9207
window_size=4, lr=0.0001, hidden_size=128, dropout=0.4, MSE=6.9506
window_size=4, lr=0.0001, hidden_size=128, dropout=0.3, MSE=7.0947
window_size=4, lr=0.0001, hidden_size=128, dropout=0.2, MSE=7.1983
window_size=16, lr=0.0005, hidden_size=64, dropout=0.3, MSE=7.2869
window_size=16, lr=0.0005, hidden_size=64, dropout=0.4, MSE=7.4661
window_size=8, lr=0.0005, hidden_size=64, dropout=0.4, MSE=7.7028
window_size=8, lr=0.0001, hidden_size=128, dropout=0.4, MSE=7.7632
window_size=16, lr=0.001, hidden_size=64, dropout=0.4, MSE=8.7025
window_size=8, lr=0.001, hidden_size=64, dropout=0.2, MSE=9.1510
window_size=8, lr=0.001, hidden_size=256, dropout=0.3, MSE=9.2112
window_size=16, lr=0.0005, hidden_size=64, dropout=0.2, MSE=9.3873
window_size=16, lr=0.001, hidden_size=128, dropout=0.3, MSE=9.6655
window_size=16, lr=0.001, hidden_size=128, dropout=0.4, MSE=10.7298
window_size=16, lr=0.0001, hidden_size=128, dropout=0.2, MSE=11.0085
window_size=16, lr=0.0001, hidden_size=128, dropout=0.3, MSE=11.1136
window_size=16, lr=0.0001, hidden_size=128, dropout=0.4, MSE=11.4380
window_size=16, lr=0.001, hidden_size=128, dropout=0.2, MSE=11.4980
window_size=4, lr=0.0001, hidden_size=64, dropout=0.2, MSE=12.1941
window_size=4, lr=0.0001, hidden_size=64, dropout=0.3, MSE=12.5489
window_size=16, lr=0.001, hidden_size=64, dropout=0.3, MSE=12.7911
window_size=4, lr=0.0001, hidden_size=64, dropout=0.4, MSE=13.1181
window_size=8, lr=0.0001, hidden_size=64, dropout=0.2, MSE=13.6428
window_size=8, lr=0.0001, hidden_size=64, dropout=0.3, MSE=14.2252
window_size=8, lr=0.0001, hidden_size=64, dropout=0.4, MSE=14.4813
window_size=16, lr=0.001, hidden_size=64, dropout=0.2, MSE=15.0511
window_size=16, lr=0.0001, hidden_size=64, dropout=0.2, MSE=17.1315
window_size=16, lr=0.0001, hidden_size=64, dropout=0.3, MSE=17.2564
window_size=8, lr=0.001, hidden_size=256, dropout=0.2, MSE=17.4168
window_size=16, lr=0.0001, hidden_size=64, dropout=0.4, MSE=17.8859
window_size=16, lr=0.001, hidden_size=256, dropout=0.2, MSE=20.1078
