window_size=16, lr=0.0001, hidden_size=256, dropout=0.2, MSE=803.7027
window_size=16, lr=0.0001, hidden_size=256, dropout=0.3, MSE=896.4292
window_size=8, lr=0.0001, hidden_size=256, dropout=0.2, MSE=1371.7607
window_size=4, lr=0.0005, hidden_size=256, dropout=0.3, MSE=1622.8094
window_size=4, lr=0.0005, hidden_size=256, dropout=0.2, MSE=1854.4166
window_size=16, lr=0.0001, hidden_size=256, dropout=0.4, MSE=1930.7467
window_size=4, lr=0.0001, hidden_size=256, dropout=0.4, MSE=3519.6684
window_size=16, lr=0.0005, hidden_size=256, dropout=0.2, MSE=3552.4357
window_size=8, lr=0.0005, hidden_size=64, dropout=0.4, MSE=3578.0759
window_size=16, lr=0.0001, hidden_size=128, dropout=0.3, MSE=4089.3304
window_size=8, lr=0.0005, hidden_size=64, dropout=0.3, MSE=4163.0624
window_size=4, lr=0.0001, hidden_size=128, dropout=0.3, MSE=4429.5138
window_size=8, lr=0.0005, hidden_size=256, dropout=0.4, MSE=4496.4645
window_size=4, lr=0.0001, hidden_size=128, dropout=0.4, MSE=4549.9498
window_size=8, lr=0.0001, hidden_size=128, dropout=0.4, MSE=4594.2829
window_size=4, lr=0.001, hidden_size=128, dropout=0.4, MSE=4671.5688
window_size=4, lr=0.0001, hidden_size=256, dropout=0.3, MSE=4722.2185
window_size=8, lr=0.0005, hidden_size=256, dropout=0.3, MSE=4938.8749
window_size=8, lr=0.0005, hidden_size=128, dropout=0.3, MSE=4940.7311
window_size=4, lr=0.0001, hidden_size=256, dropout=0.2, MSE=4972.1565
window_size=16, lr=0.0001, hidden_size=128, dropout=0.4, MSE=5289.9788
window_size=4, lr=0.0001, hidden_size=128, dropout=0.2, MSE=5402.2882
window_size=8, lr=0.0001, hidden_size=128, dropout=0.3, MSE=5409.1887
window_size=4, lr=0.0005, hidden_size=128, dropout=0.2, MSE=5428.5396
window_size=16, lr=0.001, hidden_size=128, dropout=0.2, MSE=5445.2367
window_size=16, lr=0.0001, hidden_size=128, dropout=0.2, MSE=5548.1522
window_size=8, lr=0.001, hidden_size=64, dropout=0.4, MSE=5630.9563
window_size=8, lr=0.0001, hidden_size=256, dropout=0.4, MSE=6449.1357
window_size=4, lr=0.001, hidden_size=256, dropout=0.4, MSE=6611.7429
window_size=8, lr=0.001, hidden_size=128, dropout=0.4, MSE=6933.1804
window_size=8, lr=0.0001, hidden_size=128, dropout=0.2, MSE=7074.1423
window_size=8, lr=0.0005, hidden_size=64, dropout=0.2, MSE=7121.5762
window_size=16, lr=0.0005, hidden_size=128, dropout=0.3, MSE=7375.6700
window_size=4, lr=0.0005, hidden_size=128, dropout=0.3, MSE=7871.5836
window_size=16, lr=0.0005, hidden_size=256, dropout=0.4, MSE=8297.7920
window_size=8, lr=0.0001, hidden_size=256, dropout=0.3, MSE=8687.6785
window_size=8, lr=0.0005, hidden_size=256, dropout=0.2, MSE=9165.7592
window_size=4, lr=0.001, hidden_size=128, dropout=0.2, MSE=9522.3299
