window_size=8, lr=0.0001, hidden_size=128, dropout=0.3, MSE=442.3206
window_size=8, lr=0.0001, hidden_size=128, dropout=0.2, MSE=459.0578
window_size=8, lr=0.0001, hidden_size=256, dropout=0.3, MSE=470.5524
window_size=4, lr=0.0001, hidden_size=256, dropout=0.3, MSE=513.6182
window_size=8, lr=0.0001, hidden_size=256, dropout=0.2, MSE=557.7437
window_size=8, lr=0.0001, hidden_size=256, dropout=0.4, MSE=646.8458
window_size=4, lr=0.0001, hidden_size=256, dropout=0.2, MSE=721.4439
window_size=16, lr=0.0001, hidden_size=256, dropout=0.4, MSE=795.7503
window_size=16, lr=0.0001, hidden_size=128, dropout=0.3, MSE=798.3992
window_size=4, lr=0.0001, hidden_size=256, dropout=0.4, MSE=804.5678
window_size=16, lr=0.0001, hidden_size=128, dropout=0.2, MSE=947.0291
window_size=16, lr=0.0001, hidden_size=256, dropout=0.3, MSE=1045.0506
window_size=16, lr=0.0001, hidden_size=64, dropout=0.2, MSE=1133.1049
window_size=4, lr=0.0001, hidden_size=128, dropout=0.2, MSE=1168.7784
window_size=16, lr=0.0001, hidden_size=256, dropout=0.2, MSE=1230.4977
window_size=16, lr=0.0001, hidden_size=128, dropout=0.4, MSE=1271.2028
window_size=4, lr=0.0001, hidden_size=128, dropout=0.3, MSE=1312.9218
window_size=8, lr=0.0001, hidden_size=128, dropout=0.4, MSE=1463.9930
window_size=16, lr=0.0001, hidden_size=64, dropout=0.3, MSE=1751.0615
window_size=8, lr=0.0005, hidden_size=64, dropout=0.2, MSE=1879.8830
window_size=4, lr=0.0005, hidden_size=64, dropout=0.3, MSE=1907.9742
window_size=8, lr=0.0001, hidden_size=64, dropout=0.2, MSE=2056.2964
window_size=4, lr=0.0001, hidden_size=128, dropout=0.4, MSE=2168.9153
window_size=8, lr=0.0001, hidden_size=64, dropout=0.3, MSE=2395.8620
window_size=4, lr=0.0001, hidden_size=64, dropout=0.2, MSE=2425.7225
window_size=4, lr=0.0001, hidden_size=64, dropout=0.3, MSE=2735.9431
window_size=8, lr=0.0001, hidden_size=64, dropout=0.4, MSE=3189.6265
window_size=4, lr=0.0005, hidden_size=128, dropout=0.2, MSE=3341.6697
window_size=16, lr=0.0001, hidden_size=64, dropout=0.4, MSE=3426.8406
window_size=8, lr=0.0005, hidden_size=64, dropout=0.3, MSE=3524.8760
window_size=4, lr=0.0001, hidden_size=64, dropout=0.4, MSE=3565.6729
window_size=8, lr=0.0005, hidden_size=256, dropout=0.3, MSE=3870.4622
window_size=8, lr=0.0005, hidden_size=256, dropout=0.4, MSE=3917.2431
window_size=8, lr=0.0005, hidden_size=256, dropout=0.2, MSE=3964.8632
window_size=4, lr=0.0005, hidden_size=128, dropout=0.3, MSE=3998.7419
window_size=16, lr=0.0005, hidden_size=128, dropout=0.3, MSE=5129.2266
window_size=8, lr=0.001, hidden_size=128, dropout=0.3, MSE=5345.8320
window_size=8, lr=0.0005, hidden_size=128, dropout=0.3, MSE=5565.8432
window_size=8, lr=0.001, hidden_size=64, dropout=0.2, MSE=5682.1895
window_size=8, lr=0.0005, hidden_size=128, dropout=0.4, MSE=5755.1161
window_size=4, lr=0.001, hidden_size=64, dropout=0.3, MSE=5837.4741
window_size=16, lr=0.0005, hidden_size=64, dropout=0.4, MSE=6228.9476
window_size=16, lr=0.0005, hidden_size=256, dropout=0.2, MSE=6511.6730
window_size=4, lr=0.0005, hidden_size=128, dropout=0.4, MSE=6690.3265
window_size=8, lr=0.001, hidden_size=64, dropout=0.3, MSE=6831.4236
window_size=16, lr=0.001, hidden_size=128, dropout=0.4, MSE=7543.8876
window_size=16, lr=0.0005, hidden_size=64, dropout=0.2, MSE=7570.6595
window_size=4, lr=0.0005, hidden_size=256, dropout=0.3, MSE=8059.9715
window_size=4, lr=0.0005, hidden_size=256, dropout=0.2, MSE=8072.2735
window_size=4, lr=0.001, hidden_size=64, dropout=0.2, MSE=8075.1049
window_size=16, lr=0.0005, hidden_size=128, dropout=0.2, MSE=8628.1074
window_size=8, lr=0.0005, hidden_size=64, dropout=0.4, MSE=8697.4424
window_size=8, lr=0.001, hidden_size=64, dropout=0.4, MSE=8818.0941
window_size=8, lr=0.0005, hidden_size=128, dropout=0.2, MSE=9153.5480
window_size=4, lr=0.0005, hidden_size=256, dropout=0.4, MSE=9218.2033
window_size=16, lr=0.001, hidden_size=64, dropout=0.4, MSE=9228.1632
window_size=4, lr=0.001, hidden_size=64, dropout=0.4, MSE=9470.8920
window_size=4, lr=0.001, hidden_size=256, dropout=0.3, MSE=9573.4693
window_size=16, lr=0.0005, hidden_size=128, dropout=0.4, MSE=9712.4160
window_size=16, lr=0.0005, hidden_size=256, dropout=0.4, MSE=10154.8568
window_size=8, lr=0.001, hidden_size=256, dropout=0.4, MSE=10322.5277
window_size=8, lr=0.001, hidden_size=128, dropout=0.2, MSE=10430.4714
window_size=16, lr=0.001, hidden_size=128, dropout=0.3, MSE=10866.5244
window_size=4, lr=0.001, hidden_size=128, dropout=0.4, MSE=10953.7347
window_size=16, lr=0.0005, hidden_size=64, dropout=0.3, MSE=11197.2649
window_size=4, lr=0.0005, hidden_size=64, dropout=0.4, MSE=11230.3375
window_size=4, lr=0.001, hidden_size=128, dropout=0.3, MSE=11378.2343
window_size=4, lr=0.001, hidden_size=128, dropout=0.2, MSE=11537.7002
window_size=4, lr=0.001, hidden_size=256, dropout=0.2, MSE=12154.2093
window_size=4, lr=0.0005, hidden_size=64, dropout=0.2, MSE=13103.6260
window_size=16, lr=0.001, hidden_size=128, dropout=0.2, MSE=13444.8581
window_size=16, lr=0.001, hidden_size=256, dropout=0.3, MSE=13723.9994
window_size=16, lr=0.001, hidden_size=256, dropout=0.4, MSE=14502.0832
window_size=16, lr=0.001, hidden_size=64, dropout=0.3, MSE=14571.3174
window_size=8, lr=0.001, hidden_size=256, dropout=0.3, MSE=15332.3882
window_size=4, lr=0.001, hidden_size=256, dropout=0.4, MSE=16731.0002
window_size=16, lr=0.0005, hidden_size=256, dropout=0.3, MSE=17189.2048
window_size=8, lr=0.001, hidden_size=256, dropout=0.2, MSE=17809.8468
window_size=8, lr=0.001, hidden_size=128, dropout=0.4, MSE=18883.0939
window_size=16, lr=0.001, hidden_size=64, dropout=0.2, MSE=19597.3948
window_size=16, lr=0.001, hidden_size=256, dropout=0.2, MSE=28394.2121
